Metric,Tip
cxRepOverall,If you promise a callback - put it in your calendar with a specific time
cxRepOverall,Use the customer's preferred name - ask 'Is it Mike or Michael?' early
cxRepOverall,Show expertise: 'Here's what usually works in situations like yours'
cxRepOverall,When giving bad news - lead with what you CAN do first
cxRepOverall,Give the reference or confirmation number whenever there is one - customers feel more secure with something to hold on to
cxRepOverall,Verify contact info at end of call - updates prevent future miscalls
cxRepOverall,Mention a program only when it genuinely fits - budget billing for someone fighting big swings - never as a script
cxRepOverall,If call reveals an unrelated issue - address it don't leave them to call back
cxRepOverall,If you're stumped - acknowledge it: 'Great question - let me find the right answer'
cxRepOverall,Thank customers for their patience specifically not generically
cxRepOverall,Listen for the UNSPOKEN ask - 'billed twice' might mean refund not explanation
cxRepOverall,If customer seems rushed - give them the short version: what you did and what happens next
cxRepOverall,Use the one-more-thing close: 'Before we wrap - anything else on your mind?'
cxRepOverall,Don't read scripts robotically - internalize them then speak naturally
cxRepOverall,They rate the whole experience, not just the fix, and that includes how sure you sounded
cxRepOverall,Say what you're doing before you go quiet
cxRepOverall,Give them one thing to remember, the date, the amount, or the next step
cxRepOverall,If you can't give them what they want, give them the clearest no you can with an option next to it
cxRepOverall,Ask whether the explanation made sense, not whether they have questions
cxRepOverall,Use their words for their problem, not the internal name for it
cxRepOverall,If the bill is the problem, don't just explain it, tell them what could change it
cxRepOverall,Confirm the phone number and email so outage alerts actually reach them
cxRepOverall,If they mention they're moving, handle it now instead of next call
cxRepOverall,When they're right, say so plainly
cxRepOverall,Offer the option that fits them, not the one that's quickest to set up
cxRepOverall,Tell them what will arrive in writing and when
cxRepOverall,Close the loop out loud, here's what we did and here's what happens next
cxRepOverall,If they sound unsure at the end, they are, ask again
cxRepOverall,A customer who understands the bill doesn't have to like it to rate you well
cxRepOverall,Say your name at the end too, ownership is memorable
cxRepOverall,Don't oversell the fix, say exactly what it does
cxRepOverall,Ask what would make this easier for them, then do that if you can
overallExperience,Open the call with 'I'd be happy to help you with that' instead of jumping straight into verification. It sets a welcoming tone.
overallExperience,When there's bad news, lead with what you CAN do: 'Here's what I can do for you right now' before explaining any limitations.
overallExperience,Don't leave them in silence. If you're looking something up, say so: 'I'm pulling up your account now' or 'Let me check the latest notes here.'
overallExperience,Before ending, summarize clearly: 'So here's what we did today and what happens next.' Customers remember the ending most.
overallExperience,Match the customer's energy. If they're chatty, take a moment to connect. If they're in a hurry, get to the point quickly.
